Topic,Count,Name,Representation,Representative_Docs
20,13,20_site_site irritation_irritation_irritation affecting,"['site', 'site irritation', 'irritation', 'irritation affecting', 'administration', 'conditions severity', 'general', 'general disorders', 'administration site', 'disorders administration']","['The subject experienced application site irritation. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: placebo.', 'The subject experienced application site irritation. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: recovered/resolved. Treatment arm: placebo.', 'The subject experienced application site irritation. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: placebo.']"
21,13,21_experienced ventricular_ventricular_experienced supraventricular_supraventricular,"['experienced ventricular', 'ventricular', 'experienced supraventricular', 'supraventricular', 'affecting cardiac', 'cardiac disorders', 'cardiac', 'disorders severity', 'disorders', 'low dose']","['The subject experienced ventricular extrasystoles. affecting the cardiac disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced ventricular extrasystoles. affecting the cardiac disorders. Severity: mild. Relationship to study drug: remote. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced ventricular extrasystoles. affecting the cardiac disorders. Severity: mild. Relationship to study drug: remote. Outcome: recovered/resolved. Treatment arm: xanomeline low dose.']"
22,12,22_nasopharyngitis_nasopharyngitis affecting_experienced nasopharyngitis_infestations,"['nasopharyngitis', 'nasopharyngitis affecting', 'experienced nasopharyngitis', 'infestations', 'infestations severity', 'affecting infections', 'infections infestations', 'infections', 'drug outcome', 'recoverednot resolved']","['The subject experienced nasopharyngitis. affecting the infections and infestations. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced nasopharyngitis. affecting the infections and infestations. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced nasopharyngitis. affecting the infections and infestations. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.']"
23,12,23_administration_conditions_general_administration site,"['administration', 'conditions', 'general', 'administration site', 'site conditions', 'disorders administration', 'conditions severity', 'general disorders', 'affecting general', 'site']","['The subject experienced fatigue. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced fatigue. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: possible. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced fatigue. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.']"
24,11,24_possible_possible outcome_drug possible_administration,"['possible', 'possible outcome', 'drug possible', 'administration', 'administration site', 'affecting general', 'site conditions', 'conditions', 'conditions severity', 'general']","['The subject experienced chills. affecting the general disorders and administration site conditions. Severity: moderate. Relationship to study drug: possible. Outcome: recovered/resolved. Treatment arm: placebo.', 'The subject experienced chills. affecting the general disorders and administration site conditions. Severity: moderate. Relationship to study drug: possible. Outcome: recovered/resolved. Treatment arm: placebo.', 'The subject experienced chills. affecting the general disorders and administration site conditions. Severity: moderate. Relationship to study drug: possible. Outcome: recovered/resolved. Treatment arm: placebo.']"
25,11,25_hyperhidrosis_hyperhidrosis affecting_experienced hyperhidrosis_affecting skin,"['hyperhidrosis', 'hyperhidrosis affecting', 'experienced hyperhidrosis', 'affecting skin', 'skin subcutaneous', 'subcutaneous', 'subcutaneous tissue', 'tissue', 'tissue disorders', 'skin']","['The subject experienced hyperhidrosis. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced hyperhidrosis. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced hyperhidrosis. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.']"
26,11,26_administration_administration site_affecting general_general disorders,"['administration', 'administration site', 'affecting general', 'general disorders', 'general', 'conditions', 'conditions severity', 'disorders administration', 'site conditions', 'site']","['The subject experienced oedema peripheral. affecting the general disorders and administration site conditions. Severity: moderate. Relationship to study drug: remote. Outcome: not recovered/not resolved. Treatment arm: placebo.', 'The subject experienced oedema peripheral. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: remote. Outcome: not recovered/not resolved. Treatment arm: placebo.', 'The subject experienced oedema peripheral. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: remote. Outcome: recovered/resolved. Treatment arm: placebo.']"
27,10,27_affecting skin_skin subcutaneous_subcutaneous_subcutaneous tissue,"['affecting skin', 'skin subcutaneous', 'subcutaneous', 'subcutaneous tissue', 'tissue', 'tissue disorders', 'skin', 'xanomeline low', 'low', 'low dose']","['The subject experienced blister. affecting the skin and subcutaneous tissue disorders. Severity: moderate. Relationship to study drug: probable. Outcome: recovered/resolved. Treatment arm: xanomeline low dose.', 'The subject experienced blister. affecting the skin and subcutaneous tissue disorders. Severity: moderate. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced blister. affecting the skin and subcutaneous tissue disorders. Severity: moderate. Relationship to study drug: probable. Outcome: recovered/resolved. Treatment arm: xanomeline low dose.']"
28,10,28_pain affecting_pain_experienced pain_breast disorders,"['pain affecting', 'pain', 'experienced pain', 'breast disorders', 'reproductive breast', 'affecting reproductive', 'reproductive', 'breast', 'administration', 'disorders administration']","['The subject experienced pain. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced pain. affecting the general disorders and administration site conditions. Severity: moderate. Relationship to study drug: probable. Outcome: recovered/resolved. Treatment arm: xanomeline low dose.', 'The subject experienced pain. affecting the general disorders and administration site conditions. Severity: moderate. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.']"
29,10,29_discharge affecting_discharge_site conditions_conditions,"['discharge affecting', 'discharge', 'site conditions', 'conditions', 'general', 'disorders administration', 'conditions severity', 'general disorders', 'administration', 'affecting general']","['The subject experienced malaise. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced malaise. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced malaise. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: possible. Outcome: recovered/resolved. Treatment arm: xanomeline low dose.']"
30,10,30_mellitus_diabetes_diabetes mellitus_event,"['mellitus', 'diabetes', 'diabetes mellitus', 'event', 'subject', 'study', 'low', 'xanomeline low', 'low dose', 'mild']","['Subject 01-701-1211, a 76-year-old woman with Alzheimer�s dementia, began receiving xanomeline low dose on 15 November 2012.  The subject was diagnosed with Alzheimer�s dementia in 2010.  The subject also had non-insulin dependent diabetes mellitus, which was considered to be mild in severity.  The subject experienced sudden death on 14 January 2013.  This death was considered by the investigator to be unrelated to study medication.  No action was taken for this event and study medication was not discontinued prior to death.  Eight other adverse events were reported for this subject yet none were classified as being serious and none appeared to contribute to the sudden death.', 'Subject 01-701-1211, a 76-year-old woman with Alzheimer�s dementia, began receiving xanomeline low dose on 15 November 2012.  The subject was diagnosed with Alzheimer�s dementia in 2010.  The subject also had non-insulin dependent diabetes mellitus, which was considered to be mild in severity.  The subject experienced sudden death on 14 January 2013.  This death was considered by the investigator to be unrelated to study medication.  No action was taken for this event and study medication was not discontinued prior to death.  Eight other adverse events were reported for this subject yet none were classified as being serious and none appeared to contribute to the sudden death.', 'Subject 01-701-1211, a 76-year-old woman with Alzheimer�s dementia, began receiving xanomeline low dose on 15 November 2012.  The subject was diagnosed with Alzheimer�s dementia in 2010.  The subject also had non-insulin dependent diabetes mellitus, which was considered to be mild in severity.  The subject experienced sudden death on 14 January 2013.  This death was considered by the investigator to be unrelated to study medication.  No action was taken for this event and study medication was not discontinued prior to death.  Eight other adverse events were reported for this subject yet none were classified as being serious and none appeared to contribute to the sudden death.']"
31,9,31_headache affecting_headache_experienced headache_nervous disorders,"['headache affecting', 'headache', 'experienced headache', 'nervous disorders', 'nervous', 'affecting nervous', 'arm placebo', 'placebo', 'placebo subject', 'disorders severity']","['The subject experienced headache. affecting the nervous system disorders. Severity: mild. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: placebo.', 'The subject experienced headache. affecting the nervous system disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: placebo.', 'The subject experienced headache. affecting the nervous system disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: placebo.']"
32,9,32_nasopharyngitis affecting_nasopharyngitis_experienced nasopharyngitis_infestations severity,"['nasopharyngitis affecting', 'nasopharyngitis', 'experienced nasopharyngitis', 'infestations severity', 'infections', 'affecting infections', 'infestations', 'infections infestations', 'drug outcome', 'recoveredresolved treatment']","['The subject experienced nasopharyngitis. affecting the infections and infestations. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced nasopharyngitis. affecting the infections and infestations. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced nasopharyngitis. affecting the infections and infestations. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.']"
33,8,33_vascular disorders_affecting vascular_vascular_placebo,"['vascular disorders', 'affecting vascular', 'vascular', 'placebo', 'arm placebo', 'placebo subject', 'drug remote', 'remote outcome', 'remote', 'disorders severity']","['The subject experienced hypotension. affecting the vascular disorders. Severity: mild. Relationship to study drug: possible. Outcome: recovered/resolved. Treatment arm: placebo.', 'The subject experienced hypotension. affecting the vascular disorders. Severity: moderate. Relationship to study drug: remote. Outcome: not recovered/not resolved. Treatment arm: placebo.', 'The subject experienced hypotension. affecting the vascular disorders. Severity: mild. Relationship to study drug: remote. Outcome: not recovered/not resolved. Treatment arm: placebo.']"
34,8,34_probable_drug probable_probable outcome_subcutaneous,"['probable', 'drug probable', 'probable outcome', 'subcutaneous', 'affecting skin', 'skin subcutaneous', 'subcutaneous tissue', 'tissue disorders', 'tissue', 'skin']","['The subject experienced urticaria. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced urticaria. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced urticaria. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.']"
35,8,35_block_affecting cardiac_cardiac disorders_cardiac,"['block', 'affecting cardiac', 'cardiac disorders', 'cardiac', 'drug outcome', 'disorders severity', 'recoverednot', 'resolved treatment', 'resolved', 'outcome recoverednot']","['The subject experienced atrioventricular block second degree. affecting the cardiac disorders. Severity: moderate. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced atrioventricular block second degree. affecting the cardiac disorders. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced atrioventricular block second degree. affecting the cardiac disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.']"
36,8,36_mediastinal disorders_thoracic_respiratory thoracic_affecting respiratory,"['mediastinal disorders', 'thoracic', 'respiratory thoracic', 'affecting respiratory', 'mediastinal', 'thoracic mediastinal', 'respiratory', 'experienced cough', 'cough affecting', 'cough']","['The subject experienced cough. affecting the respiratory, thoracic and mediastinal disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: placebo.', 'The subject experienced cough. affecting the respiratory, thoracic and mediastinal disorders. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: placebo.', 'The subject experienced cough. affecting the respiratory, thoracic and mediastinal disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: placebo.']"
37,7,37_experienced electrocardiogram_electrocardiogram_affecting investigations_investigations severity,"['experienced electrocardiogram', 'electrocardiogram', 'affecting investigations', 'investigations severity', 'investigations', 'decreased affecting', 'remote', 'remote outcome', 'drug remote', 'decreased']","['The subject experienced electrocardiogram t wave inversion. affecting the investigations. Severity: mild. Relationship to study drug: remote. Outcome: not recovered/not resolved. Treatment arm: placebo.', 'The subject experienced electrocardiogram t wave inversion. affecting the investigations. Severity: mild. Relationship to study drug: remote. Outcome: recovered/resolved. Treatment arm: placebo.', 'The subject experienced electrocardiogram t wave inversion. affecting the investigations. Severity: mild. Relationship to study drug: remote. Outcome: not recovered/not resolved. Treatment arm: placebo.']"
38,7,38_musculoskeletal_musculoskeletal connective_affecting musculoskeletal_connective,"['musculoskeletal', 'musculoskeletal connective', 'affecting musculoskeletal', 'connective', 'connective tissue', 'tissue', 'tissue disorders', 'drug outcome', 'disorders severity', 'resolved']","['The subject experienced arthralgia. affecting the musculoskeletal and connective tissue disorders. Severity: moderate. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced arthralgia. affecting the musculoskeletal and connective tissue disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced arthralgia. affecting the musculoskeletal and connective tissue disorders. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: xanomeline low dose.']"
